run_time,spot,expiration,strike,bid,ask,last,volume,open_interest,iv,delta,gamma,theta,vega
2026-09-25 13:45:27,744.38,2026-09-25,730.0,13.86,14.62,13.47,30,5596,,,,,
2026-09-25 13:45:27,744.38,2026-09-25,731.0,12.71,13.48,12.55,1,1903,,,,,
2026-09-25 13:45:27,744.38,2026-09-25,732.0,12.03,12.77,8.74,1529,1712,,,,,
2026-09-25 13:45:27,744.38,2026-09-25,733.0,11.29,11.84,10.56,4,1245,0.36,0.9464,0.01523,-0.185,0.0217
2026-09-25 13:45:27,744.38,2026-09-25,734.0,10.11,10.62,6.9,6576,2111,,,,,
2026-09-25 13:45:27,744.38,2026-09-25,735.0,9.53,9.65,8.92,15,5615,0.3189,0.9328,0.02052,-0.21,0.0258
2026-09-25 13:45:27,744.38,2026-09-25,736.0,8.56,8.58,5.45,28,2008,0.2848,0.9328,0.02299,-0.19,0.0258
2026-09-25 13:45:27,744.38,2026-09-25,737.0,7.23,7.71,7.38,25,2086,0.2134,0.9606,0.02008,-0.09,0.0169
2026-09-25 13:45:27,744.38,2026-09-25,738.0,6.57,6.65,6.66,136,1446,0.2439,0.9083,0.03399,-0.23,0.0327
2026-09-25 13:45:27,744.38,2026-09-25,739.0,5.59,5.82,5.72,130,2862,0.2399,0.873,0.04366,-0.325,0.0414
2026-09-25 13:45:27,744.38,2026-09-25,740.0,4.8,4.92,4.9,269,6854,0.2404,0.8232,0.05431,-0.48,0.0516
2026-09-25 13:45:27,744.38,2026-09-25,741.0,3.97,4.08,4.059,751,3978,0.2334,0.7699,0.06549,-0.645,0.0604
2026-09-25 13:45:27,744.38,2026-09-25,742.0,3.32,3.35,3.32,1566,2469,0.2396,0.6945,0.07362,-0.955,0.0697
2026-09-25 13:45:27,744.38,2026-09-25,743.0,2.53,2.55,2.53,2758,2791,0.2209,0.6266,0.08625,-1.16,0.0753
2026-09-25 13:45:27,744.38,2026-09-25,744.0,1.91,1.94,1.92,2677,3834,0.2165,0.5384,0.09229,-1.545,0.0789
2026-09-25 13:45:27,744.38,2026-09-25,745.0,1.45,1.46,1.4,1721,11725,0.2191,0.4466,0.09083,-1.455,0.0786
2026-09-25 13:45:27,744.38,2026-09-25,746.0,1.02,1.03,1.06,1163,9191,0.215,0.3555,0.0872,-1.025,0.074
2026-09-25 13:45:27,744.38,2026-09-25,747.0,0.7,0.71,0.71,637,3616,0.2137,0.2717,0.07812,-0.705,0.0659
2026-09-25 13:45:27,744.38,2026-09-25,748.0,0.42,0.47,0.44,668,6996,0.2087,0.1943,0.06631,-0.445,0.0547
2026-09-25 13:45:27,744.38,2026-09-25,749.0,0.27,0.32,0.27,204,2258,0.2116,0.1384,0.05254,-0.295,0.0439
2026-09-25 13:45:27,744.38,2026-09-25,750.0,0.17,0.22,0.17,1170,13050,0.2156,0.097,0.04006,-0.195,0.0341
2026-09-25 13:45:27,744.38,2026-09-25,751.0,0.15,0.16,0.11,249,2398,0.23,0.0758,0.03122,-0.155,0.0283
2026-09-25 13:45:27,744.38,2026-09-25,752.0,0.1,0.11,0.1,108,2692,0.2353,0.0533,0.02321,-0.105,0.0216
2026-09-25 13:45:27,744.38,2026-09-25,753.0,0.08,0.09,0.08,703,3820,0.249,0.0423,0.01823,-0.085,0.0179
2026-09-25 13:45:27,744.38,2026-09-25,754.0,0.02,0.03,0.05,36,10932,0.223,0.0158,0.00895,-0.025,0.0079
2026-09-25 13:45:27,744.38,2026-09-25,755.0,0.05,0.06,0.05,120,20285,0.2735,0.0266,0.01134,-0.055,0.0122
2026-09-25 13:45:27,744.38,2026-09-25,756.0,0.04,0.05,0.04,20,3145,0.2855,0.0215,0.00906,-0.045,0.0102
2026-09-25 13:45:27,744.38,2026-09-25,757.0,0.01,0.02,0.03,131,1985,0.2635,0.0086,0.00446,-0.015,0.0046
2026-09-25 13:45:27,744.38,2026-09-25,758.0,0.01,0.04,0.03,29,2937,0.3004,0.0121,0.00528,-0.025,0.0063
2026-09-25 13:45:27,744.38,2026-09-25,759.0,0.03,0.04,0.01,12,903,0.3342,0.0149,0.00568,-0.035,0.0075
2026-09-25 13:46:29,743.72,2026-09-25,729.0,14.68,15.81,11.39,886,6528,0.5737,0.9061,0.01474,-0.525,0.0332
2026-09-25 13:46:29,743.72,2026-09-25,730.0,13.85,14.51,13.94,32,5596,0.525,0.9098,0.01562,-0.46,0.0322
2026-09-25 13:46:29,743.72,2026-09-25,731.0,12.63,13.54,12.55,2,1903,0.4661,0.9188,0.01627,-0.365,0.0298
2026-09-25 13:46:29,743.72,2026-09-25,732.0,11.64,12.74,8.74,1529,1712,0.4698,0.8992,0.01895,-0.47,0.035
2026-09-25 13:46:29,743.72,2026-09-25,733.0,10.78,11.42,10.88,7,1245,0.4143,0.9071,0.02024,-0.38,0.033
2026-09-25 13:46:29,743.72,2026-09-25,734.0,10.14,10.2,6.9,6576,2111,0.4048,0.8901,0.02341,-0.45,0.0372
