run_time,spot,expiration,strike,bid,ask,last,volume,iv,delta,gamma,theta,vega
2026-07-13 07:23:05,726.27,2026-07-13,712.0,13.45,14.83,14.5,194,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,713.0,12.39,15.14,13.61,940,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,714.0,11.59,13.48,12.8,133,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,715.0,10.42,12.74,11.71,961,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,716.0,9.72,10.96,10.93,668,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,717.0,8.97,10.47,9.98,969,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,718.0,8.17,9.47,8.02,876,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,719.0,7.4,8.33,8.15,2217,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,720.0,6.2,7.32,7.45,9097,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,721.0,6.53,6.6,6.63,8951,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,722.0,5.67,5.77,5.82,15647,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,723.0,4.91,4.97,5.06,22069,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,724.0,4.38,4.46,4.41,20355,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,725.0,3.72,3.74,3.77,34860,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,726.0,3.12,3.23,3.2,23642,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,727.0,2.6,2.66,2.61,11757,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,728.0,2.13,2.17,2.17,13981,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,729.0,1.67,1.77,1.77,8299,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,730.0,1.32,1.39,1.38,26075,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,731.0,1.02,1.09,1.07,7454,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,732.0,0.78,0.84,0.82,6434,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,733.0,0.58,0.64,0.62,11691,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,734.0,0.43,0.48,0.48,6241,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,735.0,0.34,0.36,0.35,9697,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,736.0,0.2,0.22,0.24,6138,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,737.0,0.17,0.19,0.19,4630,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,738.0,0.08,0.1,0.15,7076,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,739.0,0.09,0.11,0.09,1998,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,740.0,0.03,0.08,0.09,5639,,,,,
2026-07-13 07:23:05,726.27,2026-07-13,741.0,0.05,0.06,0.07,1492,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,699.0,14.65,15.02,18.81,47,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,700.0,13.54,14.22,15.34,83,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,701.0,12.69,12.77,13.64,161,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,702.0,11.56,11.92,11.86,140,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,703.0,10.46,10.96,9.66,150,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,704.0,9.66,10,10.49,225,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,705.0,8.86,8.87,8.93,277,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,706.0,7.78,7.9,7.36,232,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,707.0,6.6,7.08,6.98,486,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,708.0,5.93,6.07,6.04,678,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,709.0,4.85,5.07,5,855,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,710.0,4.15,4.2,4.22,3053,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,711.0,3.22,3.32,3.41,2486,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,712.0,2.46,2.54,2.54,8685,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,713.0,1.83,1.92,1.89,15933,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,714.0,1.26,1.28,1.35,55567,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,715.0,0.87,0.88,0.88,118268,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,716.0,0.49,0.5,0.56,169999,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,717.0,0.28,0.29,0.34,194963,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,718.0,0.2,0.21,0.17,230573,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,719.0,0.12,0.13,0.13,151992,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,720.0,0.08,0.09,0.05,179990,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,721.0,0.02,0.07,0.06,70846,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,722.0,0.01,0.02,0.04,60987,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,723.0,0.04,0.05,0.04,25819,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,724.0,0.03,0.04,0.03,25182,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,725.0,0.01,0.02,0.01,55791,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,726.0,0.03,0.04,0.03,11267,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,727.0,0.01,0.02,0.03,14767,,,,,
2026-07-13 16:43:44,713.8,2026-07-13,728.0,0.01,0.02,0.02,4946,,,,,
2026-07-13 17:22:31,713.29,2026-07-13,699.0,14.58,14.68,14.85,109,0.8112,0.9264,0.01394,-6.4677,0.0172
2026-07-13 17:22:31,713.29,2026-07-13,700.0,13.65,14.06,13.65,183,0.8778,0.8937,0.01693,-9.1657,0.0227
2026-07-13 17:22:31,713.29,2026-07-13,701.0,12.61,12.96,12.39,177,0.7986,0.8971,0.01817,-8.1525,0.0221
2026-07-13 17:22:31,713.29,2026-07-13,702.0,11.35,12.03,11.07,145,0.7074,0.905,0.01936,-6.8264,0.0209
2026-07-13 17:22:31,713.29,2026-07-13,703.0,10.55,10.7,11.27,229,0.6294,0.9099,0.02091,-5.8483,0.0201
2026-07-13 17:22:31,713.29,2026-07-13,704.0,9.56,9.76,9.57,269,0.5996,0.8979,0.02407,-6.1054,0.022
2026-07-13 17:22:31,713.29,2026-07-13,705.0,8.58,8.92,8.59,342,0.589,0.8755,0.02822,-6.8968,0.0253
2026-07-13 17:22:31,713.29,2026-07-13,706.0,7.46,7.78,7.52,334,0.4866,0.8898,0.03134,-5.2452,0.0232
2026-07-13 17:22:31,713.29,2026-07-13,707.0,6.54,6.74,6.82,713,0.4459,0.8756,0.03727,-5.2381,0.0253
2026-07-13 17:22:31,713.29,2026-07-13,708.0,5.48,5.78,5.66,1304,0.3918,0.865,0.04489,-4.8738,0.0268
2026-07-13 17:22:31,713.29,2026-07-13,709.0,4.73,4.87,4.87,1394,0.3945,0.8129,0.05518,-6.053,0.0332
2026-07-13 17:22:31,713.29,2026-07-13,710.0,3.87,3.95,3.72,6992,0.3662,0.7687,0.06737,-6.3608,0.0376
2026-07-13 17:22:31,713.29,2026-07-13,711.0,2.94,3.01,3.14,7003,0.318,0.7222,0.08541,-6.0811,0.0414
2026-07-13 17:22:31,713.29,2026-07-13,712.0,2.2,2.23,2.31,25791,0.2998,0.6383,0.10124,-6.3953,0.0463
2026-07-13 17:22:31,713.29,2026-07-13,713.0,1.55,1.57,1.57,63761,0.2854,0.5348,0.11279,-6.4474,0.0491
2026-07-13 17:22:31,713.29,2026-07-13,714.0,1.03,1.04,1.04,119903,0.2753,0.4193,0.11496,-6.1081,0.0482
2026-07-13 17:22:31,713.29,2026-07-13,715.0,0.57,0.58,0.58,173617,0.2525,0.2936,0.11046,-4.9313,0.0425
2026-07-13 17:22:31,713.29,2026-07-13,716.0,0.31,0.36,0.36,207635,0.2527,0.1943,0.08821,-3.9405,0.034
2026-07-13 17:22:31,713.29,2026-07-13,717.0,0.2,0.21,0.21,219698,0.262,0.1274,0.06448,-3.0953,0.0258
2026-07-13 17:22:31,713.29,2026-07-13,718.0,0.08,0.13,0.13,243156,0.2609,0.0732,0.04315,-2.0534,0.0172
2026-07-13 17:22:31,713.29,2026-07-13,719.0,0.07,0.08,0.04,162964,0.2816,0.0515,0.03036,-1.6823,0.013
2026-07-13 17:22:31,713.29,2026-07-13,720.0,0.05,0.06,0.05,188322,0.302,0.037,0.02171,-1.3828,0.01
2026-07-13 17:22:31,713.29,2026-07-13,721.0,0.04,0.05,0.04,75491,0.3268,0.029,0.0164,-1.2226,0.0082
2026-07-13 17:22:31,713.29,2026-07-13,722.0,0.01,0.05,0.04,65116,0.3392,0.0196,0.01136,-0.913,0.0059
2026-07-13 17:22:31,713.29,2026-07-13,723.0,0.01,0.02,0.01,27060,0.338,0.0106,0.0067,-0.5344,0.0035
2026-07-13 17:22:31,713.29,2026-07-13,724.0,0.03,0.04,0.02,27573,0.4133,0.0189,0.00903,-1.0764,0.0057
2026-07-13 17:22:31,713.29,2026-07-13,725.0,0.03,0.04,0.01,57391,0.4457,0.0176,0.00791,-1.0962,0.0054
2026-07-13 17:22:31,713.29,2026-07-13,726.0,0.03,0.04,0.01,11883,0.4778,0.0166,0.007,-1.1144,0.0051
2026-07-13 17:22:31,713.29,2026-07-13,727.0,0.01,0.02,0.01,15043,0.4561,0.0081,0.00392,-0.5688,0.0027
2026-07-13 17:22:31,713.29,2026-07-13,728.0,0.01,0.04,0.01,5755,0.5169,0.0114,0.00469,-0.8744,0.0037
